
"KKA-6061","中客","DAEWOO", ," ", , ,201602,20160224, ,"中區", , , , , ,,
"KKA-6062","中客","DAEWOO", ," ", , ,201602,20160224, ,"中區", , , , , ,,
"KKA-6063","中客","DAEWOO", ," ", , ,201602,20160224, ,"中區", , , , , ,,
"KKA-6065","豐榮","HINO","ERK1JRL","FR58RK14D25", ,"豐榮",200502,20160301, ,"中區","大南105-AD->豐榮705-FY", , , , ,,
"KKA-6066","總達","HINO","RK8JRSA","GARK8JRSA2A", ,"固亞",200704,20160308, ,"中區","三重571-FN", , , , ,,
"KKA-6067","總達","HINO","RK8JRSA", , ,"固亞",200708,20160308, ,"中區","三重609-FN", , , , ,,
"KKA-6068","豐榮","ZHONGTONG","LCK6900G","LCK6900G","ISB4.5E5207B", ,201603,20160323, ,"中區", , , , , ,,
"KKA-6069","豐榮","ZHONGTONG","LCK6900G","LCK6900G","ISB4.5E5207B", ,201603,20160323, ,"中區", , , , , ,,
"KKA-6070","豐榮","ZHONGTONG","LCK6900G","LCK6900G","ISB4.5E5207B", ,201603,20160324, ,"中區", , , , , ,,
"KKA-6071","豐榮","ZHONGTONG","LCK6900G","LCK6900G","ISB4.5E5207B", ,201603,20160324, ,"中區", , , , , ,,
"KKA-6072","豐榮","ZHONGTONG","LCK6900G","LCK6900G","ISB4.5E5207B", ,201603,20160325, ,"中區", , , , , ,,
"KKA-6073","豐榮","ZHONGTONG","LCK6900G","LCK6900G","ISB4.5E5207B", ,201603,20160325, ,"中區", , , , , ,,
"KKA-6075","豐榮","ZHONGTONG","LCK6900G","LCK6900G","ISB4.5E5207B", ,201603,20160328, ,"中區", , , , , ,,
"KKA-6076","豐榮","ZHONGTONG","LCK6900G","LCK6900G","ISB4.5E5207B", ,201603,20160328, ,"中區", , , , , ,,
"KKA-6077","豐榮","ZHONGTONG","LCK6900G","LCK6900G","ISB4.5E5207B", ,201603,20160329, ,"中區", , , , , ,,
"KKA-6078","豐榮","ZHONGTONG","LCK6900G","LCK6900G","ISB4.5E5207B", ,201603,20160329, ,"中區", , , , , ,,
"KKA-6079","仁友","FUSO","RM117NL","RM117NL2", ,"國際山霖",200612,20160401, ,"中區","大有660-FL","換牌KKA-6180", , , ,,
"KKA-6080","仁友","FUSO","RM117NL","RM117NL2", ,"國際山霖",200612,20160401, ,"中區","大有661-FL","換牌KKA-6182", , , ,,
"KKA-6081","仁友","FUSO","RM117NL","RM117NL2", ,"國際山霖",200612,20160401, ,"中區","大有663-FL","換牌KKA-6183", , , ,,
"KKA-6082","仁友","FUSO","RM117NL","RM117NL2", ,"國際山霖",200612,20160401, ,"中區","大有666-FL","換牌KKA-6181", , , ,,
"KKA-6083","中鹿","MITSUBISHI","Rosa"," ", , ,201603,20160525, ,"中區", , , , , ,,
"KKA-6085","中鹿","MITSUBISHI","Rosa"," ", , ,201603,20160525, ,"中區", , , , , ,,
"KKA-6086","仁友","FUSO","RM117NL","RM117NL2", ,"國際山霖",200612,20160531, ,"中區","大有662-FL", , , , ,,
"KKA-6087","仁友","FUSO","RM117NL","RM117NL2", ,"國際山霖",200612,20160531, ,"中區","大有671-FL", , , , ,,
"KKA-6088","仁友","FUSO","RM117NL","RM117NL2", ,"國際山霖",200612,20160531, ,"中區","大有667-FL", , , , ,,
"KKA-6089","仁友","FUSO","RM117NL","RM117NL2", ,"國際山霖",200612,20160531, ,"中區","大有659-FL", , , , ,,
"KKA-6090","仁友","FUSO","RM117NL","RM117NL2", ,"國際山霖",200612,20160531, ,"中區","大有665-FL", , , , ,,
"KKA-6091","仁友","FUSO","RM117NL","RM117NL2", ,"國際山霖",200612,20160531, ,"中區","大有672-FL", , , , ,,
